videoId,channelId,video_url
Nm1wLiM6oSs,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Nm1wLiM6oSs
laEvtQCNB4k,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=laEvtQCNB4k
XBi7C4KBdrQ,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=XBi7C4KBdrQ
u5VBcgUxk4Q,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=u5VBcgUxk4Q
rHPudifLnNA,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=rHPudifLnNA
fRsFmCWL7Iw,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=fRsFmCWL7Iw
fQEsm7BMqls,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=fQEsm7BMqls
031dOwVKHCI,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=031dOwVKHCI
yAjYm-eSxec,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=yAjYm-eSxec
nBusvrDEjdk,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=nBusvrDEjdk
FXbRmfdLhkk,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=FXbRmfdLhkk
ZSkEzvMx9ks,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=ZSkEzvMx9ks
g2s8TuiQOEQ,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=g2s8TuiQOEQ
BZR-Hkuy320,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=BZR-Hkuy320
eioiZdUl-HU,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=eioiZdUl-HU
Od7tfE2iwWY,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=Od7tfE2iwWY
ULuiRddnJLE,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=ULuiRddnJLE
H4Tt5C6IChE,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=H4Tt5C6IChE
prAV5-1d0PQ,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=prAV5-1d0PQ
DePM4moKvS4,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=DePM4moKvS4
KlIhvcGxc0k,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=KlIhvcGxc0k
linTQJlB6io,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=linTQJlB6io
veLGemX4kw8,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=veLGemX4kw8
EPBruuVwC_g,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=EPBruuVwC_g
O3UzB60N4P0,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=O3UzB60N4P0
IJhvBDhUE0Q,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=IJhvBDhUE0Q
bo0GaAbmxV8,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=bo0GaAbmxV8
-FypiqgQOEg,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=-FypiqgQOEg
epKFGrf2NFM,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=epKFGrf2NFM
YiodHE6lLiM,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=YiodHE6lLiM
TfqmaBUDw0E,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=TfqmaBUDw0E
8e4b4jeVom8,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=8e4b4jeVom8
RKavzevrH04,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=RKavzevrH04
9CriHxZgSHQ,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=9CriHxZgSHQ
ALWUN7WgW0E,UCd6MoB9NC6uYN2grvUNT-Zg,https://www.youtube.com/watch?v=ALWUN7WgW0E
